😀	grinning face	cheerful|cheery|face|grin|grinning|grinning face|happy|laugh|nice|smile|smiling|teeth
😃	grinning face with big eyes	awesome|big|eyes|face|grin|grinning|grinning face with big eyes|happy|mouth|open|smile|smiling|teeth|with|yay
😄	grinning face with smiling eyes	eye|eyes|face|grin|grinning|grinning face with smiling eyes|happy|laugh|lol|mouth|open|smile|smiling|with
😁	beaming face with smiling eyes	beaming|beaming face with smiling eyes|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth|with
😆	grinning squinting face	closed|eyes|face|grinning|grinning squinting face|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting
😅	grinning face with sweat	cold|dejected|excited|face|grinning|grinning face with sweat|mouth|nervous|open|smile|smiling|stress|stressed|sweat|with
🤣	rolling on the floor laughing	crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|laughing|lmao|lol|on|rofl|roflmao|rolling|rolling on the floor laughing|tear|the
😂	face with tears of joy	crying|face|face with tears of joy|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|of|rofl|roflmao|tear|tears|with
🙂	slightly smiling face	face|happy|slightly|slightly smiling face|smile|smiling
🙃	upside-down face	down|face|hehe|smile|upside|upside-down|upside-down face
🫠	melting face	disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|melting face|sarcasm|sarcastic
😉	winking face	face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winking face|winks
😊	smiling face with smiling eyes	blush|eye|eyes|face|glad|satisfied|smile|smiling|smiling face with smiling eyes|with
😇	smiling face with halo	angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|smiling face with halo|spirit|tale|with
🥰	smiling face with hearts	3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|smiling face with hearts|with|you
😍	smiling face with heart-eyes	143|bae|eye|eyes|face|feels|heart|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|smiling|smiling face with heart-eyes|with|xoxo
🤩	star-struck	excited|eyes|face|grinning|smile|star|star-struck|starry-eyed|struck|wow
😘	face blowing a kiss	a|adorbs|bae|blowing|face|face blowing a kiss|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you
😗	kissing face	143|date|dating|face|flirt|ily|kiss|kissing|kissing face|love|smooch|smooches|xoxo|you
☺️	smiling face	face|smiling
😚	kissing face with closed eyes	143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|kissing face with closed eyes|smooches|with|xoxo
😙	kissing face with smiling eyes	143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|kissing face with smiling eyes|love|night|smile|smiling|with
🥲	smiling face with tear	face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|smiling face with tear|tear|touched|with
😋	face savoring food	delicious|eat|face|face savoring food|food|full|hungry|savor|savoring|smile|smiling|tasty|um|yum|yummy
😛	face with tongue	awesome|cool|face|face with tongue|nice|party|stuck-out|sweet|tongue|with
😜	winking face with tongue	crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|winking face with tongue|with|yolo
🤪	zany face	crazy|eye|eyes|face|goofy|large|small|zany|zany face
